Country Code,Country,Continent,Sub Region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DEU,Germany,Europe,Western Europe,0.83,-0.16,-0.31,0.03,2.03,3.81,6.07,-1.3,1.25,2.77,3.38,3.89,1.01,0.6,0.81,2.76,2.28,1.2,2.26,3.16,12.09
DNK,Denmark,Europe,Northern Europe,2.18,1.42,-1.02,0.65,2.72,4.46,7.57,-0.09,0.37,3.96,4.29,0.43,-0.87,1.04,0.1,2.81,0.04,1.39,0.64,0.58,11.16
DOM,Dominican Republic,Americas,Caribbean,4.6,27.8,71.18,-2.8,3.27,4.2,15.8,3.26,4.17,9.14,5.0,4.65,3.91,6.74,2.15,2.31,3.61,3.75,6.35,9.87,11.18
DZA,Algeria,Africa,Northern Africa,1.8,4.5,4.9,0.2,4.22,6.36,7.5,8.23,4.24,5.9,12.96,2.98,4.54,3.6,2.62,5.61,1.74,0.64,0.22,10.13,13.72
ECU,Ecuador,Americas,South America,8.2,2.42,1.38,2.7,5.68,3.25,16.84,5.89,4.83,6.73,5.81,1.78,4.52,4.21,2.54,0.5,-1.63,0.04,0.76,-0.85,4.93
EGY,Egypt,Africa,Northern Africa,4.2,6.7,5.87,5.05,10.15,12.96,23.97,16.03,19.87,15.49,9.21,12.42,12.29,10.67,16.66,38.66,13.3,7.08,-0.2,4.6,22.19
ESP,Spain,Europe,Southern Europe,4.7,4.1,3.87,3.16,4.11,3.69,5.88,-1.05,-0.84,2.05,2.33,2.79,-0.35,1.17,1.4,1.23,1.65,1.03,2.36,1.85,11.24
EST,Estonia,Europe,Northern Europe,3.04,-1.73,4.19,3.53,5.06,9.33,14.18,-4.01,3.03,9.66,3.85,4.14,0.02,-0.54,0.04,5.71,3.06,2.99,2.14,1.84,18.92
ETH,Ethiopia,Africa,Eastern Africa,2.6,25.07,3.36,12.84,13.61,21.96,60.01,3.3,1.51,39.17,28.1,5.79,5.39,12.14,6.52,11.36,12.52,18.94,23.08,31.78,38.23
FIN,Finland,Europe,Northern Europe,2.88,0.64,0.74,0.31,1.39,2.08,8.57,2.0,-3.58,6.28,5.16,5.36,0.14,-1.87,-1.14,-0.91,1.91,1.21,1.15,0.57,9.99
FJI,Fiji,Oceania,Melanesia,0.5,6.2,3.8,1.7,1.8,9.7,11.5,6.7,4.1,10.58,4.32,3.53,1.92,4.77,5.99,-2.15,1.08,4.88,-2.38,6.5,5.35
FRA,France,Europe,Western Europe,2.73,2.28,0.49,0.16,1.67,1.45,5.06,0.08,0.78,1.99,2.89,1.15,-0.84,0.4,0.55,1.09,1.97,2.45,2.03,0.62,6.76
GAB,Gabon,Africa,Middle Africa,0.2,1.9,-1.9,0.2,0.9,2.3,7.8,3.7,4.4,4.03,5.68,-0.42,3.0,2.83,-0.09,-0.72,1.85,3.1,1.67,1.35,5.25
GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,0.82,1.29,0.79,1.52,2.4,4.51,9.16,5.47,3.42,5.5,3.25,3.73,-0.19,-2.58,-2.38,2.25,2.08,10.93,0.72,0.3,10.35
GEO,Georgia,Asia,Western Asia,7.5,7.1,7.7,13.1,11.7,9.8,12.92,4.22,1.75,16.04,-4.49,-0.71,5.13,4.16,1.65,6.77,2.32,8.16,10.59,10.81,18.17
GHA,Ghana,Africa,Western Africa,18.2,24.7,16.6,15.6,9.2,12.2,15.2,15.7,6.1,6.7,6.75,7.28,6.8,7.48,8.66,7.27,7.82,7.86,11.84,10.31,29.0
GIN,Guinea,Africa,Western Africa,6.15,21.4,21.2,37.0,42.5,28.5,20.6,7.1,20.4,27.36,15.63,12.65,10.56,11.52,11.49,13.59,13.36,11.36,12.7,15.78,13.24
GRC,Greece,Europe,Southern Europe,5.33,4.98,0.51,0.61,3.74,3.24,5.36,1.91,0.06,3.11,1.51,0.0,-1.68,1.8,-0.22,0.32,0.4,-4.7,1.36,1.36,11.41
GTM,Guatemala,Americas,Central America,10.53,5.74,10.28,13.21,7.14,9.89,15.11,2.02,3.45,10.66,7.18,8.38,7.46,9.32,9.94,8.9,7.23,7.82,6.37,4.79,8.62
HKG,Hong Kong,Asia,Eastern Asia,-2.09,-1.56,1.12,1.76,1.74,4.28,10.14,1.32,2.32,7.01,5.81,4.41,4.14,3.91,3.38,2.18,3.35,4.86,3.29,1.41,4.63
