Country Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CAF,2.3,4.35,-2.24,2.88,6.69,0.94,9.26,3.52,1.49,1.2,5.87,6.55,11.6,4.5,4.01,4.46,1.61,2.68,2.3,4.26,6.53
CYM,2.49,0.55,4.47,7.29,0.75,2.92,4.08,-1.47,0.27,1.31,1.2,2.17,1.25,-2.38,-0.59,2.0,3.3,5.7,1.0,0.76,8.2
CAN,2.26,2.76,1.86,2.21,2.0,2.14,2.37,0.3,1.78,2.91,1.52,0.94,1.91,1.13,1.43,1.6,2.27,1.95,0.72,3.4,6.8
CHE,0.64,0.64,0.8,1.17,1.06,0.73,2.43,-0.48,0.69,0.23,-0.69,-0.22,-0.01,-1.14,-0.43,0.53,0.94,0.36,-0.73,0.58,2.8
CHL,2.49,2.81,1.05,3.05,3.39,4.41,8.72,0.35,1.41,3.34,3.01,1.93,4.39,4.35,3.79,2.18,2.44,2.25,3.05,4.52,11.6
CHN,-0.73,1.13,3.82,1.78,1.65,4.82,5.93,-0.73,3.18,5.55,2.62,2.62,1.92,1.44,2.0,1.56,2.07,2.9,2.42,0.9,1.97
CIV,3.09,3.32,1.44,3.88,2.47,1.9,6.31,0.82,1.44,4.91,1.3,2.58,0.47,1.25,0.71,0.69,0.43,0.81,2.43,4.09,5.28
CMR,2.82,0.63,0.25,1.99,4.91,1.13,5.34,3.04,1.28,2.94,2.38,2.06,1.84,2.69,0.87,0.64,1.07,2.45,2.44,2.27,5.11
COD,25.32,12.82,4.0,21.55,12.85,16.67,17.97,46.1,23.46,14.95,0.86,0.88,1.24,0.96,18.2,35.79,29.27,4.7,11.5,8.99,8.44
COG,2.98,1.69,3.67,2.47,3.71,2.6,6.02,4.34,0.39,1.76,5.01,4.63,0.91,3.17,3.19,0.45,1.15,2.21,2.49,1.97,3.5
COL,6.35,7.13,5.9,5.05,4.29,5.55,7.0,4.2,2.27,3.42,3.17,2.02,2.9,4.99,7.51,4.31,3.24,3.52,2.52,3.5,10.2
COM,3.58,3.71,4.5,3.01,3.39,4.49,4.82,4.79,3.9,2.23,5.91,1.57,1.35,2.0,1.8,0.09,1.75,3.7,3.0,-0.18,11.44
CPV,1.92,1.19,-1.89,0.43,4.84,4.39,6.79,0.99,2.08,4.47,2.54,1.51,-0.24,0.13,-1.41,0.78,1.25,1.11,0.61,1.86,6.5
CRI,9.17,9.45,12.31,13.8,11.47,9.36,13.42,7.84,5.66,4.88,4.5,5.23,4.52,0.8,-0.02,1.63,2.22,2.1,0.72,1.73,8.28
CYP,2.8,4.14,2.28,2.56,2.5,2.38,4.68,0.34,2.43,3.29,2.38,-0.4,-1.36,-2.1,-1.43,0.68,1.43,0.56,-0.64,0.49,8.4
CZE,1.9,0.12,2.76,1.86,2.53,2.85,6.36,1.02,1.47,1.92,3.29,1.44,0.34,0.31,0.68,2.45,2.15,2.86,3.16,3.84,15.1
DEU,1.42,1.03,1.67,1.55,1.58,2.3,2.63,0.31,1.1,2.08,2.01,1.5,0.91,0.51,0.49,1.71,1.73,1.35,0.51,3.14,7.9
DJI,0.63,1.97,3.12,3.11,3.47,4.97,11.96,1.67,3.95,5.07,3.74,2.4,2.94,2.1,2.7,0.57,0.15,3.32,2.88,1.18,6.59
DMA,0.17,1.45,2.39,1.68,2.59,3.24,6.36,0.01,2.81,1.06,1.36,-0.05,0.81,-0.79,0.03,0.3,0.99,1.61,-0.3,1.57,5.28
DNK,2.42,2.08,1.15,1.82,1.92,1.69,3.42,1.3,2.31,2.76,2.4,0.79,0.56,0.45,0.25,1.06,0.81,0.73,0.42,1.85,7.7
DOM,5.24,27.46,51.3,4.15,7.56,6.17,10.67,1.48,6.34,8.45,3.68,4.82,3.01,0.85,1.63,3.28,3.56,1.81,3.78,8.24,8.81
DZA,1.43,4.26,3.97,1.38,2.31,3.93,4.38,9.36,4.21,5.74,9.7,4.1,3.88,4.39,5.8,5.59,3.51,1.95,2.42,7.23,9.96
ECU,12.42,7.91,2.75,2.2,3.32,2.29,8.4,5.16,3.55,4.47,5.1,2.72,3.59,3.97,1.73,0.42,-0.22,0.27,-0.34,0.13,3.47
EGY,2.74,4.47,11.28,4.85,7.61,9.48,18.32,11.88,11.06,10.08,7.12,9.47,10.06,10.35,13.81,23.54,14.4,13.88,5.7,5.21,13.89
ERI,16.88,22.67,25.11,12.51,15.06,9.31,19.92,33.04,11.23,3.9,6.02,6.45,10.04,9.0,9.0,-13.31,-14.4,-16.36,4.91,6.64,7.35
ESP,3.07,3.04,3.04,3.37,3.52,2.79,4.08,-0.29,1.8,3.2,2.45,1.41,-0.15,-0.5,-0.2,1.96,1.68,0.7,-0.32,3.09,8.4
EST,3.57,1.33,3.05,4.08,4.44,6.6,10.36,-0.08,2.97,4.98,3.93,2.78,-0.11,-0.49,0.15,3.65,3.44,2.27,-0.44,4.65,19.4
ETH,1.65,17.76,3.22,11.66,13.56,17.25,44.37,8.48,8.13,33.23,24.13,8.15,7.41,10.08,7.28,10.69,13.84,15.81,20.35,26.84,33.89
FIN,1.57,0.88,0.19,0.62,1.57,2.51,4.07,0.0,1.18,3.42,2.81,1.48,1.04,-0.21,0.36,0.84,1.08,1.14,0.29,2.19,7.1
