Country Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
SLV,1.87,2.12,4.45,4.69,4.03,4.59,7.26,0.54,1.18,5.12,1.73,0.76,1.14,-0.73,0.61,1.01,1.09,0.07,-0.37,3.47,7.2
SRB,8.87,2.9,10.6,16.25,10.73,6.0,12.39,8.13,6.14,11.14,7.33,7.7,2.1,1.39,1.12,3.13,1.95,1.85,1.58,4.09,11.98
STP,10.13,9.79,13.28,17.15,23.08,18.55,31.99,16.96,13.34,14.32,10.64,8.11,6.99,5.26,5.43,5.69,7.87,8.36,7.87,8.14,15.05
SUR,15.52,23.0,9.13,13.98,11.28,6.43,14.67,-0.3,6.95,17.68,5.01,1.92,3.38,6.9,55.5,22.02,6.94,4.39,49.77,59.11,54.26
SVK,3.13,8.55,7.55,2.71,4.48,2.76,4.6,1.62,0.96,3.92,3.61,1.4,-0.08,-0.33,-0.52,1.39,2.51,2.77,1.94,3.15,12.8
SVN,7.48,5.54,3.59,2.45,2.46,3.66,5.65,0.84,1.8,1.8,2.6,1.77,0.2,-0.53,-0.05,1.43,1.74,1.63,-0.05,1.92,8.8
SWE,2.16,1.93,0.37,0.45,1.36,2.21,3.44,-0.49,1.16,2.96,0.89,-0.04,-0.18,-0.05,0.98,1.87,1.95,1.64,0.5,2.16,8.4
SWZ,12.02,7.29,3.44,4.9,5.2,8.08,12.66,7.45,4.51,6.11,8.94,5.62,5.68,4.95,7.85,6.22,4.81,2.58,4.11,3.72,4.87
SYC,0.2,3.3,3.9,0.65,-1.86,5.32,36.97,31.75,-2.4,2.56,7.11,4.34,1.39,4.04,-1.01,2.86,3.7,1.81,3.9,9.77,2.63
TCD,5.19,-1.75,-4.8,3.33,8.07,-7.44,8.31,10.12,-2.11,1.86,7.7,0.23,1.67,6.76,-1.12,-0.9,4.27,-0.97,2.8,-0.77,5.11
TGO,3.06,-0.93,0.39,6.78,2.23,0.95,8.69,3.71,1.45,3.56,2.58,1.83,0.19,1.78,0.86,-0.22,0.94,0.69,1.83,4.55,7.61
THA,0.7,1.8,2.77,4.55,4.65,2.24,5.44,-0.84,3.27,3.8,3.01,2.19,1.89,-0.9,0.19,0.67,1.07,0.71,-0.85,1.23,6.08
TJK,12.23,16.26,7.13,7.09,9.99,13.14,20.51,7.44,6.9,12.47,5.83,5.04,6.03,5.47,6.04,7.31,3.83,7.79,8.59,8.92,7.67
TKM,8.75,5.59,5.89,10.71,8.16,6.26,14.54,-2.67,4.45,5.28,5.31,6.81,6.01,7.41,3.65,8.04,13.3,5.09,7.58,14.95,17.5
TON,10.36,11.64,10.97,8.67,6.15,5.84,10.45,1.43,3.54,6.27,1.15,2.11,1.17,-1.05,2.58,7.37,2.91,3.29,0.24,1.41,8.52
TTO,4.12,3.78,3.76,6.84,8.31,7.86,12.07,7.06,10.53,5.08,9.29,5.15,5.69,4.66,3.09,1.88,1.03,1.0,0.6,2.06,5.03
TUN,2.76,2.75,3.61,2.02,4.11,3.42,4.92,3.59,4.29,3.22,4.62,5.32,4.63,4.45,3.61,5.31,7.27,6.72,5.63,5.71,8.31
TUR,44.96,21.6,8.6,8.18,9.6,8.76,10.44,6.25,8.57,6.47,8.89,7.49,8.85,7.67,7.78,11.14,16.33,15.18,12.28,19.6,72.31
TUV,5.05,2.91,2.37,3.22,4.19,2.29,10.44,-0.28,-1.85,0.5,1.42,2.01,1.07,3.14,3.51,4.12,2.14,2.18,1.57,2.94,5.71
TZA,4.55,4.43,4.14,4.36,7.25,7.03,10.28,12.14,7.19,12.69,15.97,7.84,6.13,5.61,5.18,5.32,3.51,3.45,3.29,3.69,4.35
UGA,-0.3,8.72,3.67,8.61,7.22,6.09,12.03,13.01,4.0,18.66,14.03,5.47,4.3,3.69,5.17,5.63,2.62,2.87,3.79,2.21,7.2
UKR,0.72,5.22,9.03,13.53,9.09,12.89,25.2,15.86,9.33,7.95,0.59,-0.23,12.15,48.57,13.95,14.44,10.94,7.89,2.73,9.36,20.18
URY,13.96,19.4,9.16,4.7,6.39,8.11,7.88,7.06,6.7,8.1,8.1,8.58,8.88,8.67,9.63,6.22,7.61,7.88,9.76,7.75,9.11
USA,1.59,2.27,2.68,3.39,3.23,2.85,3.84,-0.36,1.64,3.16,2.07,1.46,1.62,0.12,1.26,2.14,2.44,1.81,1.23,4.7,8.0
UZB,27.29,12.49,7.32,10.7,13.11,11.15,13.13,12.3,12.3,12.45,11.9,11.7,9.08,8.46,7.98,13.88,17.68,14.53,12.86,10.69,11.32
VCT,0.75,0.13,2.85,3.44,3.02,6.99,10.12,0.37,0.75,3.19,2.6,0.81,0.19,-1.73,-0.16,2.15,1.24,0.91,-0.61,1.56,5.83
VEN,22.43,31.09,21.75,15.95,13.65,18.7,30.37,27.07,28.17,26.08,21.06,40.59,62.14,121.4,254.39,438.12,65374.08,19906.02,2355.15,1588.51,220.84
VNM,4.08,3.23,7.76,8.28,7.4,8.31,23.11,6.73,9.2,18.67,9.07,6.58,4.09,0.64,2.68,3.52,3.54,2.8,3.22,1.83,3.16
VUT,1.96,3.02,1.42,1.2,2.04,3.93,4.84,4.3,2.76,0.87,1.35,1.46,0.8,2.48,0.84,3.09,2.31,2.75,2.92,2.34,4.58
WSM,7.43,4.37,7.85,7.82,3.23,4.48,6.27,14.64,-0.2,2.88,6.19,-0.21,-1.24,1.92,0.13,1.3,4.2,2.19,-1.57,-3.01,8.75
YEM,12.24,10.83,12.49,9.87,10.85,7.91,18.98,3.67,11.17,19.54,9.89,10.97,8.1,39.4,5.0,30.4,27.6,10.0,26.18,45.7,43.85
ZAF,9.49,5.68,-0.69,2.06,3.24,6.18,10.06,7.26,4.06,5.02,5.72,5.78,6.14,4.51,6.59,5.27,4.5,4.13,3.22,4.61,7.0
ZMB,22.3,21.31,17.96,18.3,9.06,10.64,12.44,13.38,8.5,6.44,6.59,6.99,7.82,10.11,17.86,6.58,7.49,9.8,15.73,22.02,10.99
ZWE,-34.44,-8.56,113.57,-31.52,32.97,-72.73,156.96,6.22,3.05,3.47,3.72,1.63,-0.21,-2.41,-1.57,0.91,10.61,255.29,557.21,98.55,284.94
ABW,3.87,5.51,2.08,6.69,7.43,5.51,13.79,-8.2,9.43,7.16,0.81,-7.46,1.57,3.8,-2.47,-3.2,0.8,1.23,-1.28,1.26,5.38
ALB,11.9,4.5,27.2,25.0,5.7,7.1,3.87,1.75,3.62,2.76,0.9,0.24,1.33,-0.52,0.04,1.0,2.8,0.69,1.42,2.7,15.73
AUS,3.25,4.29,4.01,3.82,3.34,4.08,6.24,5.43,5.49,4.43,3.94,4.67,3.04,2.54,1.68,2.89,2.35,-1.21,-0.12,10.93,16.93
AUT,0.85,1.34,3.56,5.43,4.28,4.63,2.71,1.82,2.58,3.31,3.23,2.39,1.59,1.19,0.83,1.73,2.28,0.9,2.4,12.25,40.14
BDI,3.37,3.9,4.04,10.29,8.12,10.81,15.93,11.83,9.76,6.12,31.81,6.37,6.96,3.69,0.97,7.41,10.83,7.41,5.06,7.82,10.69
BEL,0.59,1.08,3.14,5.32,4.67,1.48,11.58,-3.91,3.39,8.06,3.73,-0.61,-1.41,0.4,2.14,3.74,3.04,0.87,-1.82,12.33,54.95
BEN,3.35,5.23,1.45,7.56,7.0,-0.38,4.88,2.69,2.19,2.06,1.65,-0.51,0.97,-0.11,-0.77,1.06,3.05,-1.43,2.88,-1.93,0.94
BFA,5.78,4.9,0.83,0.21,4.7,-1.33,12.06,10.73,2.96,3.82,4.11,2.79,2.84,3.05,0.66,-0.35,-0.72,1.4,-1.48,1.99,3.31
BGR,14.77,11.62,7.67,5.5,4.62,5.97,12.01,6.45,0.48,2.23,7.37,-0.59,-2.02,3.42,0.03,3.18,4.59,3.9,0.99,10.6,28.42
BHR,0.0,-0.3,0.1,-0.1,0.1,2.24,2.24,2.24,-1.22,-12.4,-3.28,8.73,4.89,4.61,3.03,3.48,1.24,2.87,-2.61,-1.26,-1.06
BLZ,-1.07,3.68,5.19,4.16,4.87,1.36,3.59,-3.87,3.02,3.02,3.02,0.38,1.59,-0.11,0.56,0.76,0.81,0.19,0.58,1.76,2.87
BOL,4.4,4.9,4.0,3.6,2.57,3.8,5.38,2.5,2.58,5.45,5.01,4.39,5.82,5.01,3.66,4.8,2.59,0.48,-0.21,0.23,0.7
BRA,12.04,13.42,8.62,6.54,4.63,2.09,3.3,5.88,4.85,6.29,6.75,3.36,7.79,16.76,7.22,4.23,5.83,4.78,2.34,9.58,7.98
BWA,6.1,2.6,6.1,17.5,4.89,4.72,13.5,-1.5,12.7,8.47,7.67,4.32,3.9,7.08,8.42,9.52,4.05,2.05,5.12,6.41,8.3
CAN,-2.6,9.0,3.2,6.5,5.1,2.3,7.0,-7.1,6.64,12.25,1.69,1.5,3.53,-9.57,1.43,1.56,6.7,-2.2,1.49,18.85,24.19
CHE,0.09,0.43,1.62,2.97,2.75,2.13,4.87,-1.15,2.44,2.4,0.83,0.12,1.04,-0.64,-0.06,1.21,1.35,-0.62,-0.2,8.58,22.99
CHL,2.76,5.29,3.21,3.72,4.68,7.12,14.44,0.79,1.21,6.84,0.32,2.61,6.28,5.16,5.47,3.62,4.29,2.23,2.86,9.01,20.88
CHN,-0.05,2.17,4.98,5.42,4.73,4.38,5.6,-3.5,4.35,5.48,2.1,2.88,2.1,0.65,1.27,2.63,2.26,1.3,-1.57,1.9,3.1
CIV,3.79,6.49,1.61,8.54,1.7,-0.45,4.48,-1.14,2.4,1.87,1.98,2.07,1.65,1.47,0.21,1.29,2.14,0.01,2.91,4.0,5.57
COL,3.93,5.75,5.35,4.28,3.95,4.39,5.79,5.46,3.72,3.51,3.63,2.81,3.25,4.06,5.93,4.54,4.02,5.7,-1.13,5.13,14.74
CRI,8.21,7.21,16.95,11.94,11.42,9.1,13.91,16.59,8.64,3.96,7.07,16.74,2.87,-2.16,1.15,1.23,4.34,-1.01,1.91,7.07,18.8
CYP,6.9,12.3,11.3,12.9,8.9,2.0,13.9,-15.7,19.6,18.1,14.1,-0.4,-3.2,-14.8,-9.5,8.4,7.8,-2.0,-9.5,14.3,33.21
CZE,5.98,1.95,3.53,4.18,6.19,3.42,10.28,7.25,1.65,2.8,4.96,1.76,-1.39,1.04,0.6,1.65,2.96,5.06,2.87,1.39,31.57
DEU,0.91,1.51,1.53,2.82,2.94,1.92,3.42,0.42,0.99,3.08,2.23,1.97,0.85,-0.41,0.0,1.24,1.75,1.32,0.7,10.71,35.93
DNK,2.89,2.47,2.42,3.17,2.9,2.13,4.04,1.95,3.73,3.84,2.6,1.98,1.5,0.05,0.81,1.23,1.18,-0.29,0.26,11.54,42.62
DOM,12.96,36.82,25.26,9.79,11.82,3.6,5.44,8.03,10.72,13.79,1.98,2.78,2.94,-4.48,2.0,5.32,3.9,-2.25,2.2,6.47,11.07
ECU,46.74,28.7,11.4,3.39,4.8,2.32,4.51,2.16,2.53,2.16,2.56,2.2,3.71,5.53,3.46,2.03,1.43,0.81,0.38,0.02,1.58
ESP,2.27,2.89,3.5,5.32,6.52,3.66,6.64,1.29,3.53,7.23,5.06,0.91,1.34,-2.1,-4.24,3.93,2.37,-1.24,-3.54,21.24,32.78
EST,8.22,3.01,4.09,6.98,10.36,14.58,15.81,1.02,2.94,5.86,8.99,8.83,-1.43,-1.46,-1.72,2.15,6.29,1.91,-3.72,18.44,68.17
ETH,1.51,4.61,7.54,12.76,16.54,13.74,22.05,15.01,18.0,20.81,16.73,11.47,11.06,8.74,12.35,12.77,17.04,10.95,20.08,15.89,19.34
FIN,1.9,10.7,2.8,5.4,6.5,3.8,17.5,-3.1,10.65,6.31,1.72,0.34,1.21,0.82,0.55,1.3,1.55,2.99,0.16,9.62,30.92
FJI,-2.9,2.7,8.3,14.3,6.6,-0.9,12.2,-5.3,5.2,20.87,1.64,0.75,0.15,-4.47,-5.03,1.99,2.07,-0.19,-1.17,3.01,5.35
FRA,1.64,2.7,2.79,4.75,4.66,2.97,4.74,-0.11,3.3,4.45,3.4,2.43,1.76,0.41,-0.11,1.6,2.38,1.74,-0.21,10.46,24.49
GBR,2.4,1.61,2.12,3.29,4.67,3.41,4.7,2.18,-0.36,2.71,2.72,2.35,2.0,1.25,1.68,2.04,1.86,2.08,0.88,9.11,46.18
GEO,8.0,0.6,6.7,2.7,26.5,13.7,10.0,1.72,7.11,2.58,0.77,-0.92,4.17,3.87,3.49,1.62,4.25,1.62,0.76,6.95,18.57
GHA,27.01,60.82,12.59,23.96,20.02,16.08,17.8,4.57,10.26,10.61,7.88,20.54,46.97,25.48,30.67,7.1,4.31,9.98,15.98,20.02,43.29
GIN,8.9,6.57,9.03,25.16,22.47,33.86,15.56,8.85,9.54,9.95,12.73,15.09,7.16,8.41,6.02,3.85,6.67,3.85,6.13,5.93,2.94
GRC,3.32,4.43,4.79,8.88,6.49,3.06,8.61,-2.68,6.93,8.91,7.87,5.54,-2.29,-6.47,-3.18,2.17,0.07,-0.48,-3.77,12.31,42.89
GTM,3.6,5.6,8.3,6.6,6.8,4.4,10.6,-2.23,6.59,5.32,0.3,4.23,1.94,-6.28,2.44,2.14,2.38,1.4,-0.06,4.82,4.72
HND,14.86,12.91,9.88,8.09,6.55,5.9,9.23,6.86,8.99,8.35,5.19,5.28,4.92,2.23,2.1,5.53,4.37,6.55,0.41,3.3,4.81
HRV,2.2,3.0,5.0,7.0,4.2,0.8,8.0,-2.8,9.9,7.0,10.8,1.8,0.7,-5.9,-5.7,-0.1,5.6,0.9,-6.5,8.8,19.6
HUN,5.5,7.3,14.1,6.2,6.4,24.6,9.37,7.64,5.51,4.61,5.78,-5.36,-8.41,-1.19,0.55,1.12,1.83,0.54,1.47,11.24,12.92
IDN,14.55,11.74,7.78,9.09,10.63,4.95,8.57,5.03,2.96,4.18,3.36,4.89,5.91,6.31,1.79,4.99,2.65,2.28,0.95,0.37,2.5
IRL,1.11,-0.67,4.26,10.42,16.03,20.34,9.67,-21.94,1.29,9.74,0.6,0.67,-0.03,1.6,-0.48,2.03,5.1,1.09,-1.03,12.29,41.7
IRN,15.5,15.4,11.2,6.0,13.25,21.19,28.17,17.02,5.84,16.72,13.58,19.27,18.53,16.01,7.89,6.42,12.9,24.12,23.88,26.86,29.53
ISL,2.4,8.41,7.54,14.98,11.96,11.55,12.87,0.57,-0.5,6.16,5.16,3.9,5.83,6.01,6.64,11.92,6.48,2.76,2.4,7.38,17.53
ISR,11.59,-4.84,-2.78,-1.02,1.19,-2.17,3.29,12.53,5.02,5.87,3.71,2.98,2.49,2.31,2.19,1.77,2.07,-0.45,0.78,5.41,10.45
ITA,0.27,3.32,1.96,4.9,5.7,2.58,6.45,-0.12,1.21,5.18,7.03,2.08,0.02,-0.81,-1.64,1.76,2.56,0.48,-8.21,14.08,48.83
JAM,6.39,15.61,19.03,20.42,13.34,9.04,28.68,2.81,20.67,12.24,5.85,8.29,6.47,-9.1,-1.38,11.1,6.31,1.3,2.14,5.31,8.18
JOR,2.24,2.44,0.97,2.12,6.03,2.0,14.97,-2.94,4.59,3.86,3.43,6.83,4.75,0.57,1.16,2.8,3.53,1.55,-1.82,1.56,5.53
JPN,-0.12,-0.08,-0.22,-0.08,-0.02,-0.14,0.13,-0.18,-0.35,-0.22,-0.34,-0.4,0.02,0.04,-0.13,-0.16,-0.12,1.37,-0.39,3.96,17.31
KAZ,4.9,4.9,4.6,7.46,9.83,13.82,15.29,8.4,10.58,7.11,5.73,8.57,4.91,4.08,11.59,0.75,0.57,1.32,2.29,6.5,11.53
KEN,-0.2,5.6,17.5,23.7,11.7,11.45,11.45,11.45,11.45,11.45,9.28,4.55,5.59,3.19,1.65,3.12,12.76,4.59,0.52,4.77,5.95
KGZ,20.3,2.2,7.11,8.54,7.33,13.14,27.36,19.15,13.25,1.55,6.25,1.9,3.35,16.26,5.05,-1.68,2.26,0.44,3.48,5.36,6.86
KHM,0.3,0.0,0.1,10.1,12.0,8.3,20.0,14.61,2.84,3.74,2.27,0.64,2.78,-3.5,-1.24,-0.15,1.33,1.28,1.09,2.95,7.05
KOR,2.75,4.25,3.24,1.89,2.86,2.24,4.36,1.13,2.38,4.51,4.59,3.53,2.86,-0.64,-0.81,1.7,0.7,-2.6,0.19,1.64,5.31
LCA,-1.6,3.0,3.5,7.7,5.1,1.48,5.98,-4.58,6.31,2.25,1.26,-4.17,5.03,6.57,-3.23,7.0,9.14,-1.94,-4.7,6.83,15.45
LSO,11.2,8.1,5.5,7.6,8.37,8.07,14.73,-0.26,3.34,11.51,8.35,10.58,7.71,-6.87,0.35,6.28,8.81,8.0,-1.93,6.87,16.55
LTU,2.73,0.32,0.65,4.97,6.86,11.5,19.24,11.43,4.73,8.27,6.19,0.57,-0.85,-4.76,-2.03,1.12,4.05,0.13,-3.4,14.33,57.35
LUX,0.18,2.83,3.14,6.86,5.85,3.36,7.89,-2.67,4.7,6.91,3.71,0.6,-1.01,-0.91,-1.57,1.67,3.18,1.61,-0.77,18.82,33.02
LVA,1.08,4.67,8.11,5.78,13.8,16.35,29.37,8.23,-2.26,7.61,6.82,-0.05,0.98,3.56,-2.94,2.04,4.13,3.07,-2.41,10.5,48.62
MDV,-1.4,-0.9,-2.1,6.2,9.0,2.91,2.91,2.91,2.91,2.91,3.59,3.57,3.07,1.03,0.3,-0.94,-0.16,2.21,-4.7,1.11,1.87
MEX,7.6,15.9,5.38,3.93,4.47,3.02,4.89,2.45,3.2,2.19,2.51,2.8,2.9,1.87,1.72,3.91,3.91,2.43,2.6,13.71,5.49
MKD,1.0,4.35,1.91,0.82,2.77,5.99,6.67,5.12,7.0,4.99,9.23,1.0,-0.17,1.06,-0.57,-0.28,0.01,-0.14,2.0,2.74,11.95
MLI,6.82,-0.22,-1.61,-2.37,2.41,2.02,5.25,0.21,-1.89,2.96,2.0,3.82,3.13,1.65,1.78,-0.61,2.67,4.23,0.67,-0.98,5.34
MMR,34.7,34.3,17.7,9.1,31.4,32.9,14.3,3.7,3.7,8.1,6.5,5.2,4.61,7.91,5.51,5.02,7.82,18.84,17.37,3.51,11.24
MNG,12.3,0.4,1.7,8.7,8.7,9.1,21.43,9.21,7.97,13.07,12.36,7.51,12.55,10.67,1.95,4.9,13.03,8.7,2.92,2.35,14.52
MOZ,5.2,12.5,12.5,12.5,12.5,12.5,15.01,-7.41,10.75,8.97,4.32,4.77,3.35,0.87,4.73,15.63,5.49,2.41,-0.47,5.46,6.79
MUS,15.1,15.1,0.2,3.46,11.54,4.93,6.8,-3.21,-0.29,2.29,4.82,0.52,0.74,-0.05,-3.1,-2.21,-1.78,-0.39,-2.99,-2.95,4.0
MYS,0.0,0.5,0.5,1.4,1.54,1.31,1.52,1.41,1.15,1.78,1.58,1.77,3.39,2.45,2.44,2.2,1.99,1.87,-1.73,1.57,1.95
NAM,7.6,6.77,6.34,1.86,2.06,2.13,-4.59,14.76,8.71,7.69,5.86,5.16,3.27,2.63,7.69,9.18,3.52,2.07,-0.99,1.26,1.72
NGA,17.07,33.78,20.72,12.07,16.87,9.94,6.13,8.29,10.08,15.57,17.75,9.6,5.83,7.2,21.91,12.86,7.4,7.35,8.13,10.22,14.16
NIC,4.11,6.23,8.3,7.74,12.14,8.34,15.43,-2.35,4.54,8.16,4.41,5.53,6.93,-0.62,3.82,9.14,7.12,5.18,4.65,2.21,6.8
NLD,3.38,3.86,3.18,4.62,3.88,2.6,2.11,1.8,-0.04,2.51,2.8,3.02,2.87,1.83,0.6,1.56,2.94,7.57,0.53,17.26,75.64
NOR,3.72,8.59,0.24,1.71,6.12,-0.87,6.83,1.81,5.22,0.93,-1.87,5.29,1.29,1.3,4.48,3.01,5.01,0.13,-3.49,44.52,29.15
NZL,3.16,5.24,6.54,5.54,5.06,5.21,4.68,2.53,2.43,3.61,2.77,3.04,3.38,2.78,3.18,3.13,3.06,0.86,2.93,8.55,16.83
PAK,4.9,4.9,2.5,5.8,11.5,4.9,16.6,18.0,10.63,8.35,6.56,5.34,8.36,5.21,4.97,5.04,6.21,8.49,6.16,10.04,12.19
PAN,-2.2,5.3,5.3,5.3,5.1,4.52,6.25,-7.34,2.58,1.76,3.3,4.11,1.53,-1.17,-0.98,1.92,0.64,-0.29,-4.07,-3.75,1.93
PHL,3.73,3.82,3.8,7.53,5.96,2.3,4.65,1.67,5.17,5.08,4.12,1.75,2.55,-1.15,0.38,2.74,3.97,2.4,0.91,2.57,6.31
POL,5.9,3.4,4.14,4.0,4.55,3.89,9.04,8.52,3.75,6.08,5.81,1.96,1.56,0.7,-0.61,1.8,2.06,-0.38,7.49,12.14,30.26
PRT,2.93,4.17,3.0,4.37,3.86,3.64,3.95,2.06,4.43,6.66,8.71,2.15,2.22,0.23,0.39,0.6,2.19,-1.77,0.07,7.28,23.85
PRY,10.98,9.55,1.45,4.27,5.15,2.87,7.8,1.82,5.33,7.72,9.7,4.94,4.69,3.02,2.49,2.38,3.01,2.94,1.41,2.44,3.95
QAT,1.54,18.18,16.03,26.52,25.76,29.17,19.71,-11.98,-12.76,-3.75,-2.65,6.1,7.81,2.87,4.03,-3.04,-3.9,-2.98,-4.57,-5.08,5.25
ROU,37.7,18.8,19.4,17.6,11.9,5.9,9.9,4.0,7.6,9.3,6.9,4.1,2.3,-2.7,-4.4,0.4,12.2,2.7,-7.4,15.2,32.83
RUS,35.7,15.4,14.4,18.0,16.7,11.6,13.7,19.62,13.54,10.92,5.03,9.07,7.74,10.93,7.03,4.76,3.98,4.67,3.02,5.4,6.66
SEN,4.2,4.3,2.0,0.2,3.54,10.0,2.11,-0.15,2.12,3.15,0.23,-0.3,-4.77,-2.67,-1.82,-1.41,0.32,0.48,0.91,2.53,2.3
SGP,-2.2,-0.34,-0.11,1.26,3.31,0.24,14.99,2.01,2.24,8.98,8.41,2.83,0.12,-3.54,-4.07,-2.54,-1.34,-0.99,-0.29,1.39,5.18
SLV,-3.1,2.8,-1.4,5.1,8.8,5.0,-1.7,6.99,6.97,13.86,3.63,0.11,1.62,-2.66,9.3,4.9,3.27,-0.67,-3.43,5.78,2.87
SUR,3.69,17.35,13.21,7.84,11.45,5.97,7.22,6.6,0.1,4.96,4.04,0.34,-0.6,-1.01,-1.41,-1.43,2.04,4.22,-0.03,55.8,135.08
SVK,6.81,6.58,7.31,9.07,5.3,2.67,9.65,-0.29,10.13,5.56,3.8,3.1,0.13,-1.25,-0.97,2.55,4.01,1.2,2.6,0.06,18.95
SVN,2.77,4.32,0.14,0.35,3.5,4.03,6.86,-5.36,-0.15,8.72,1.37,-0.78,-0.86,-2.55,0.85,2.48,3.72,3.11,-1.11,11.08,23.79
TCD,-0.46,0.64,0.74,1.14,1.02,-0.76,4.62,1.46,1.39,5.78,6.0,1.99,2.83,1.15,0.46,0.43,-0.83,0.82,0.85,-1.83,-1.97
TGO,1.3,1.7,4.4,2.5,6.8,-0.5,-16.0,-9.0,9.7,3.6,2.73,1.88,1.41,0.59,-1.0,0.17,1.03,0.42,0.78,0.6,12.1
TON,-0.15,0.13,2.74,2.5,2.88,4.26,5.52,4.51,0.37,1.29,2.35,0.15,0.68,0.89,-0.29,0.04,2.41,0.95,0.51,5.98,26.01
TTO,1.4,4.3,5.0,9.0,5.65,3.96,6.17,2.81,3.32,3.13,2.89,3.93,5.37,5.01,4.91,5.33,4.8,4.8,4.74,0.0,0.0
TUN,44.8,19.8,8.44,10.66,12.66,11.21,19.64,8.82,6.29,5.78,11.46,7.17,5.69,7.62,6.56,8.03,15.79,13.6,4.74,4.97,5.8
TUR,14.5,4.1,7.1,12.7,8.5,6.2,10.7,-1.6,9.2,16.85,16.32,14.2,10.67,1.32,6.61,7.57,11.97,7.92,12.4,17.72,67.62
TZA,2.91,5.3,3.78,7.37,8.71,16.66,9.94,6.66,5.15,15.88,20.74,4.97,2.85,5.29,3.82,4.91,5.79,2.92,4.04,4.13,3.66
UKR,11.41,20.79,9.56,6.14,8.13,8.86,11.16,10.7,8.85,10.32,9.24,10.7,9.03,8.11,9.2,8.58,6.06,5.91,-2.98,23.16,5.01
URY,2.22,2.52,2.57,3.26,3.8,3.16,3.18,0.37,-0.37,1.32,1.65,2.08,2.58,2.08,2.48,2.97,2.89,-2.11,7.18,7.95,7.09
VEN,16.08,12.85,9.62,7.24,6.8,6.55,8.75,12.08,13.68,12.14,9.83,12.1,16.37,22.12,2.5,109.58,94802.37,17687.47,1.79,1137.51,164.09
VNM,7.86,8.06,6.45,7.0,9.01,11.09,20.54,3.82,17.02,19.72,10.51,4.7,3.74,-1.62,2.4,4.29,3.31,3.04,0.63,1.76,2.45
ZAF,6.5,4.45,-10.64,0.6,4.4,11.15,12.18,7.91,6.69,6.63,6.19,5.6,5.77,5.99,6.05,5.18,4.89,5.21,3.74,14.31,24.37
ALB,6.3,4.3,-0.1,-0.5,1.0,2.99,5.23,4.91,4.81,4.75,2.34,4.24,2.2,4.32,3.25,3.91,2.67,2.91,3.61,3.9,11.42
ARM,2.2,6.9,10.0,0.8,4.1,6.7,11.1,-0.9,9.4,12.3,1.99,5.81,0.51,27.85,-22.03,3.99,2.34,1.87,0.27,11.21,13.31
AUS,3.57,3.65,2.34,2.38,7.79,2.33,4.67,3.73,1.55,4.83,-1.63,0.8,2.54,0.92,0.82,0.71,0.97,4.48,9.28,7.91,7.03
AUT,1.34,1.79,1.92,1.24,1.88,4.21,6.29,0.2,0.48,4.24,3.19,3.47,1.94,0.83,0.73,2.37,1.52,1.02,2.33,0.78,10.23
AZE,3.7,3.3,10.0,10.9,12.0,16.3,28.5,-1.5,7.24,10.44,0.84,2.32,0.9,6.07,14.75,16.52,1.78,3.69,4.81,8.16,20.07
BDI,-5.72,13.83,10.87,17.82,0.53,8.9,34.22,11.07,6.2,9.15,13.69,9.5,2.3,5.79,7.18,23.96,-10.99,-2.83,8.57,10.39,21.09
BEL,2.36,2.05,1.26,1.77,2.56,3.91,6.08,0.85,1.66,2.72,3.1,3.42,-0.38,1.2,2.24,1.26,2.16,4.46,2.88,-0.39,8.21
BEN,5.5,-2.3,-0.7,9.2,-0.5,-1.1,18.0,5.6,5.6,5.66,4.69,2.56,-0.77,0.41,-0.46,-0.05,2.05,-2.79,0.49,5.92,-0.7
BFA,3.1,-1.7,-4.8,14.6,-0.2,-1.7,23.3,2.6,1.46,6.14,5.37,-0.35,-3.18,2.41,0.96,0.43,3.37,-6.43,3.76,6.82,24.97
BGD,2.0,5.8,7.5,8.0,7.6,10.5,11.0,5.5,10.1,12.38,3.38,7.93,7.91,6.05,4.51,7.17,6.21,5.56,5.77,5.3,7.66
BGR,-0.03,-0.97,6.7,4.03,5.43,13.45,16.71,-0.63,-0.38,6.93,3.0,2.79,-0.98,0.33,-0.23,3.99,2.2,5.19,5.37,2.77,21.28
BHR,-1.0,-1.5,2.2,3.0,2.0,4.5,10.9,9.0,4.86,2.0,3.98,2.41,2.87,2.42,1.29,1.01,2.12,2.38,3.55,-0.08,10.04
BLR,38.9,22.8,19.6,11.9,6.1,9.8,17.7,14.0,9.06,62.22,67.97,18.8,18.66,12.21,10.59,7.02,4.06,6.36,4.27,9.62,17.22
BLZ,0.52,3.15,1.66,3.52,3.37,5.75,13.91,1.18,-4.03,0.42,2.38,1.47,0.79,-0.38,0.07,-1.12,-0.53,0.64,1.12,4.8,6.2
BOL,-0.9,3.5,6.0,5.8,5.85,14.58,25.61,1.28,2.95,13.94,3.92,8.85,8.12,4.61,5.51,3.35,2.54,3.36,-0.65,0.61,1.64
BRA,9.66,20.36,4.01,3.08,0.02,6.78,13.05,5.8,6.1,8.85,8.13,11.16,7.52,9.8,12.49,0.89,0.87,4.86,9.07,12.72,11.79
