2018,2019,2020,2021,2022
1.74,1.63,-0.05,1.92,8.8
1.95,1.64,0.5,2.16,8.4
4.81,2.58,4.11,3.72,4.87
3.7,1.81,3.9,9.77,2.63
4.27,-0.97,2.8,-0.77,5.11
0.94,0.69,1.83,4.55,7.61
1.07,0.71,-0.85,1.23,6.08
3.83,7.79,8.59,8.92,7.67
13.3,5.09,7.58,14.95,17.5
2.91,3.29,0.24,1.41,8.52
1.03,1.0,0.6,2.06,5.03
7.27,6.72,5.63,5.71,8.31
16.33,15.18,12.28,19.6,72.31
2.14,2.18,1.57,2.94,5.71
3.51,3.45,3.29,3.69,4.35
2.62,2.87,3.79,2.21,7.2
10.94,7.89,2.73,9.36,20.18
7.61,7.88,9.76,7.75,9.11
2.44,1.81,1.23,4.7,8.0
17.68,14.53,12.86,10.69,11.32
1.24,0.91,-0.61,1.56,5.83
65374.08,19906.02,2355.15,1588.51,220.84
3.54,2.8,3.22,1.83,3.16
2.31,2.75,2.92,2.34,4.58
4.2,2.19,-1.57,-3.01,8.75
27.6,10.0,26.18,45.7,43.85
4.5,4.13,3.22,4.61,7.0
7.49,9.8,15.73,22.02,10.99
10.61,255.29,557.21,98.55,284.94
